title,type,question,A,B,C,D,E,F,G,H,answer,image
Nitrogen Cycle / Kitar Nitrogen,checkbox,增加泥土里 nitrate / nitrat 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,"A,B,C",
,radio,减少泥土里 nitrate / nitrat 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,D,
,radio,nitrate / nitrat 回 nitrogen 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,D,
,radio,nitrogen 变 nitrate / nitrat 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,A,
,radio,ammonium compound / sebatian ammonium 变 nitrite / nitrit 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,B,
,radio,animal / haiwan 变 ammonium compound / sebatian ammonium 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,E,
,radio,plant / tumbuhan 变 ammonium compound / sebatian ammonium 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,E,
,radio,nitrite / nitrit 变 nitrate / nitrat 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,C,
,radio,leguminous plant / pokok legum 里的细菌把 nitrogen 转换成 nitrate / nitrat 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,B,
,radio,把 ammonium compound /sebatian ammonium 转换成 nitrate / nitrat 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,C,
,radio,把 ammonium compound /sebatian ammonium 转换成 nitrite / nitrit 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,C,
,radio,把死亡的动植物转换成 ammonium compound / sebatian ammonium 的过程是,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,E,
,radio,植物怎么得到泥土里的 nitrate / nitrat ?,Lightning / Kilat,Nitrogen fixation / Pengikatan nitrogen,Nitrification / Penitritan,Denitrification / Pendenitritan,Decomposition / Penguraian,Absorption / Penyerapan,,,F,
